id,value
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Pituitary Gland.Pituitary Gland, Intermediate.Melanotrophs",A08.186.211.200.317.357.352.435.500.750.500
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Pituitary Gland.Pituitary Gland, Posterior",A08.186.211.200.317.357.352.435.500.875
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Middle.Tuber Cinereum",A08.186.211.200.317.357.352.870
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Middle.Ventromedial Hypothalamic Nucleus",A08.186.211.200.317.357.352.953
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Posterior",A08.186.211.200.317.357.362
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Posterior.Mammillary Bodies",A08.186.211.200.317.357.362.500
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Optic Chiasm,A08.186.211.200.317.578
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Optic Tract,A08.186.211.200.317.689
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Subthalamus,A08.186.211.200.317.800
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Subthalamus.Entopeduncular Nucleus,A08.186.211.200.317.800.240
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Subthalamus.Subthalamic Nucleus,A08.186.211.200.317.800.800
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Subthalamus.Zona Incerta,A08.186.211.200.317.800.900
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Thalamus,A08.186.211.200.317.826
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Thalamus.Thalamic Nuclei,A08.186.211.200.317.826.701
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Thalamus.Thalamic Nuclei.Anterior Thalamic Nuclei,A08.186.211.200.317.826.701.080
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Thalamus.Thalamic Nuclei.Geniculate Bodies,A08.186.211.200.317.826.701.444
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Thalamus.Thalamic Nuclei.Intralaminar Thalamic Nuclei,A08.186.211.200.317.826.701.460
